individual_id,university_attended,income_elite_university,income_non_elite_university
21337,non-elite university,50772,49772
21338,elite university,84102,83102
21339,elite university,50996,49996
21340,elite university,103235,102235
21341,elite university,64341,63341
21342,elite university,83988,82988
21343,non-elite university,79647,78647
21344,non-elite university,92189,91189
21345,elite university,82884,81884
21346,non-elite university,32721,31721
21347,non-elite university,29360,28360
21348,non-elite university,34763,33763
21349,elite university,55743,54743
21350,non-elite university,92782,91782
21351,elite university,68394,67394
21352,elite university,65966,64966
21353,elite university,66638,65638
21354,elite university,51686,50686
21355,non-elite university,77874,76874
21356,elite university,78018,77018
21357,elite university,47651,46651
21358,non-elite university,71276,70276
21359,elite university,33958,32958
21360,non-elite university,60227,59227
21361,elite university,144121,143121
21362,elite university,113859,112859
21363,non-elite university,61620,60620
21364,elite university,61661,60661
21365,non-elite university,32886,31886
21366,non-elite university,97148,96148
21367,non-elite university,86073,85073
21368,elite university,35784,34784
21369,non-elite university,74577,73577
21370,non-elite university,57442,56442
21371,non-elite university,88202,87202
21372,non-elite university,81497,80497
21373,non-elite university,72914,71914
21374,non-elite university,70559,69559
21375,elite university,65795,64795
21376,elite university,66698,65698
21377,non-elite university,61337,60337
21378,elite university,60057,59057
21379,elite university,77048,76048
21380,elite university,87894,86894
21381,non-elite university,57623,56623
21382,non-elite university,35095,34095
21383,elite university,73957,72957
21384,non-elite university,144020,143020
21385,non-elite university,60803,59803
21386,elite university,39493,38493
21387,elite university,23275,22275
21388,non-elite university,48669,47669
21389,non-elite university,70252,69252
21390,non-elite university,36421,35421
21391,elite university,128413,127413
21392,elite university,66269,65269
21393,non-elite university,91868,90868
21394,non-elite university,53393,52393
21395,elite university,55681,54681
21396,non-elite university,117341,116341
21397,elite university,75774,74774
21398,non-elite university,90140,89140
21399,non-elite university,74579,73579
21400,elite university,76707,75707
21401,elite university,98367,97367
21402,elite university,88043,87043
21403,non-elite university,45274,44274
21404,elite university,54686,53686
21405,non-elite university,52968,51968
21406,elite university,59657,58657
21407,elite university,69228,68228
21408,non-elite university,65285,64285
21409,non-elite university,78044,77044
21410,elite university,71383,70383
21411,elite university,51195,50195
21412,elite university,51340,50340
21413,elite university,58197,57197
21414,non-elite university,59123,58123
21415,non-elite university,51360,50360
21416,non-elite university,76765,75765
21417,elite university,82053,81053
21418,non-elite university,69994,68994
21419,non-elite university,84592,83592
21420,elite university,70876,69876
21421,elite university,49865,48865
21422,elite university,68701,67701
21423,elite university,45211,44211
21424,non-elite university,24397,23397
21425,elite university,36867,35867
21426,non-elite university,58988,57988
21427,elite university,88820,87820
21428,elite university,159152,158152
21429,non-elite university,122023,121023
21430,elite university,36488,35488
21431,non-elite university,43431,42431
21432,elite university,42876,41876
21433,elite university,92270,91270
21434,elite university,88311,87311
21435,non-elite university,88882,87882
21436,elite university,67967,66967
21437,non-elite university,101053,100053
21438,elite university,76866,75866
21439,non-elite university,54566,53566
21440,non-elite university,69797,68797
21441,elite university,76413,75413
21442,non-elite university,37088,36088
21443,elite university,110185,109185
21444,elite university,58162,57162
21445,elite university,51421,50421
21446,non-elite university,56248,55248
21447,elite university,62175,61175
21448,non-elite university,77588,76588
21449,non-elite university,81893,80893
21450,non-elite university,69248,68248
21451,elite university,59744,58744
21452,elite university,45344,44344
21453,elite university,66208,65208
21454,elite university,52580,51580
21455,elite university,50143,49143
21456,non-elite university,42760,41760
21457,non-elite university,74170,73170
21458,non-elite university,111636,110636
21459,non-elite university,83930,82930
21460,non-elite university,81406,80406
21461,non-elite university,69212,68212
21462,elite university,31675,30675
21463,non-elite university,56259,55259
21464,elite university,57795,56795
21465,non-elite university,56686,55686
21466,non-elite university,79538,78538
21467,non-elite university,78700,77700
21468,elite university,43613,42613
21469,elite university,62595,61595
21470,non-elite university,41640,40640
21471,elite university,77420,76420
21472,non-elite university,94022,93022
21473,elite university,66319,65319
21474,elite university,51348,50348
21475,elite university,67203,66203
21476,non-elite university,51212,50212
21477,elite university,57555,56555
21478,elite university,66297,65297
21479,non-elite university,45584,44584
21480,elite university,95098,94098
21481,non-elite university,52761,51761
21482,non-elite university,83531,82531
21483,elite university,75733,74733
21484,elite university,80676,79676
21485,elite university,119539,118539
21486,elite university,91724,90724
21487,non-elite university,155358,154358
21488,non-elite university,47789,46789
21489,non-elite university,27690,26690
21490,non-elite university,78581,77581
21491,non-elite university,49885,48885
21492,elite university,111655,110655
21493,non-elite university,40251,39251
21494,elite university,75337,74337
21495,non-elite university,52313,51313
21496,elite university,85396,84396
21497,non-elite university,54372,53372
21498,elite university,31661,30661
21499,non-elite university,54832,53832
21500,elite university,87286,86286
21501,non-elite university,56731,55731
21502,elite university,71564,70564
21503,elite university,77055,76055
21504,elite university,102694,101694
21505,non-elite university,45089,44089
21506,elite university,50765,49765
21507,elite university,78914,77914
21508,non-elite university,66331,65331
21509,elite university,63666,62666
21510,non-elite university,164064,163064
21511,elite university,94674,93674
21512,elite university,59530,58530
21513,elite university,68183,67183
21514,non-elite university,59052,58052
21515,non-elite university,53625,52625
21516,elite university,105412,104412
21517,non-elite university,98456,97456
21518,non-elite university,55250,54250
21519,elite university,74039,73039
21520,elite university,62712,61712
21521,elite university,53882,52882
21522,elite university,64395,63395
21523,elite university,68012,67012
21524,non-elite university,83328,82328
21525,non-elite university,85884,84884
21526,elite university,95529,94529
21527,non-elite university,37679,36679
21528,non-elite university,41872,40872
21529,elite university,45158,44158
21530,non-elite university,77267,76267
21531,elite university,66683,65683
21532,non-elite university,55297,54297
21533,non-elite university,135981,134981
21534,elite university,72527,71527
21535,elite university,78519,77519
21536,non-elite university,50505,49505
21537,elite university,36360,35360
21538,elite university,36027,35027
21539,elite university,35447,34447
21540,elite university,105579,104579
21541,elite university,45362,44362
21542,non-elite university,83571,82571
21543,non-elite university,72869,71869
21544,non-elite university,79011,78011
21545,elite university,77305,76305
21546,elite university,73580,72580
21547,non-elite university,68219,67219
21548,elite university,129848,128848
21549,elite university,79484,78484
21550,elite university,97958,96958
21551,non-elite university,96685,95685
21552,non-elite university,76909,75909
21553,non-elite university,82853,81853
21554,non-elite university,58753,57753
21555,elite university,104179,103179
21556,elite university,105523,104523
21557,non-elite university,114345,113345
21558,elite university,100361,99361
21559,non-elite university,72283,71283
21560,elite university,57795,56795
21561,elite university,73071,72071
21562,elite university,45295,44295
21563,elite university,75245,74245
21564,elite university,161452,160452
21565,non-elite university,77309,76309
21566,non-elite university,93286,92286
21567,non-elite university,65592,64592
21568,elite university,40507,39507
21569,elite university,82066,81066
21570,elite university,119786,118786
21571,non-elite university,48003,47003
21572,non-elite university,84021,83021
21573,elite university,32365,31365
21574,elite university,56440,55440
21575,elite university,102085,101085
21576,elite university,85061,84061
21577,elite university,45950,44950
21578,non-elite university,96463,95463
21579,non-elite university,78832,77832
21580,non-elite university,94020,93020
21581,non-elite university,96913,95913
21582,non-elite university,61972,60972
21583,elite university,120717,119717
21584,non-elite university,43944,42944
21585,non-elite university,49682,48682
21586,non-elite university,62482,61482
21587,elite university,52331,51331
21588,elite university,89957,88957
21589,non-elite university,40909,39909
21590,elite university,35276,34276
21591,elite university,88948,87948
21592,non-elite university,158664,157664
21593,elite university,54742,53742
21594,non-elite university,31676,30676
21595,elite university,102671,101671
21596,non-elite university,46681,45681
21597,elite university,60574,59574
21598,non-elite university,135958,134958
21599,elite university,34789,33789
21600,elite university,41875,40875
21601,elite university,91697,90697
21602,non-elite university,71910,70910
21603,non-elite university,67251,66251
21604,non-elite university,44537,43537
21605,elite university,72973,71973
21606,elite university,93421,92421
21607,non-elite university,70677,69677
21608,non-elite university,41993,40993
21609,non-elite university,60075,59075
21610,elite university,62691,61691
21611,non-elite university,42929,41929
21612,non-elite university,89934,88934
21613,non-elite university,61344,60344
21614,non-elite university,102192,101192
21615,elite university,103104,102104
21616,non-elite university,73059,72059
21617,non-elite university,84123,83123
21618,non-elite university,41128,40128
21619,non-elite university,32905,31905
21620,non-elite university,44469,43469
21621,non-elite university,121809,120809
21622,elite university,53037,52037
21623,non-elite university,45728,44728
21624,non-elite university,88718,87718
21625,non-elite university,40782,39782
21626,elite university,85943,84943
21627,elite university,56574,55574
21628,elite university,94934,93934
21629,elite university,93651,92651
21630,non-elite university,86809,85809
21631,elite university,61386,60386
21632,non-elite university,58343,57343
21633,elite university,100085,99085
21634,non-elite university,40799,39799
21635,non-elite university,42622,41622
21636,elite university,127515,126515
21637,elite university,82463,81463
21638,elite university,54689,53689
21639,non-elite university,53928,52928
21640,elite university,48914,47914
21641,elite university,74032,73032
21642,non-elite university,64491,63491
21643,elite university,80634,79634
21644,non-elite university,50477,49477
21645,elite university,81136,80136
21646,elite university,40011,39011
21647,elite university,75739,74739
21648,non-elite university,45783,44783
21649,non-elite university,33467,32467
21650,elite university,81421,80421
21651,elite university,74096,73096
21652,non-elite university,45689,44689
21653,non-elite university,33912,32912
21654,elite university,38904,37904
21655,elite university,40469,39469
21656,elite university,57589,56589
21657,non-elite university,53821,52821
21658,elite university,122736,121736
21659,elite university,93816,92816
21660,elite university,52683,51683
21661,non-elite university,52144,51144
21662,non-elite university,56904,55904
21663,non-elite university,52233,51233
21664,non-elite university,32961,31961
21665,non-elite university,112996,111996
21666,non-elite university,42433,41433
21667,elite university,49251,48251
21668,elite university,69991,68991
21669,elite university,45428,44428
21670,non-elite university,46323,45323
21671,elite university,98622,97622
21672,non-elite university,51261,50261
21673,elite university,100149,99149
21674,elite university,59895,58895
21675,non-elite university,51774,50774
21676,non-elite university,61771,60771
21677,elite university,46990,45990
21678,elite university,72764,71764
21679,elite university,106499,105499
21680,elite university,67867,66867
21681,elite university,81376,80376
21682,non-elite university,35709,34709
21683,non-elite university,52743,51743
21684,elite university,109642,108642
21685,non-elite university,73809,72809
21686,elite university,111105,110105
21687,elite university,63776,62776
21688,elite university,100143,99143
21689,elite university,102415,101415
21690,non-elite university,49099,48099
21691,elite university,98296,97296
21692,elite university,92262,91262
21693,non-elite university,39906,38906
21694,elite university,103776,102776
21695,elite university,98720,97720
21696,elite university,66189,65189
21697,elite university,70441,69441
21698,non-elite university,48808,47808
21699,elite university,94128,93128
21700,elite university,55796,54796
21701,elite university,53571,52571
21702,elite university,77550,76550
21703,elite university,52759,51759
21704,non-elite university,66985,65985
21705,elite university,134940,133940
21706,non-elite university,51339,50339
21707,elite university,47729,46729
21708,non-elite university,65306,64306
21709,non-elite university,63778,62778
21710,elite university,54681,53681
21711,elite university,51830,50830
21712,non-elite university,70822,69822
21713,non-elite university,62056,61056
21714,non-elite university,81279,80279
21715,elite university,48572,47572
21716,elite university,115434,114434
21717,elite university,125619,124619
21718,non-elite university,84785,83785
21719,elite university,57652,56652
21720,elite university,85158,84158
21721,elite university,62205,61205
21722,non-elite university,61590,60590
21723,elite university,46212,45212
21724,non-elite university,65218,64218
21725,elite university,28629,27629
21726,elite university,64522,63522
21727,elite university,124935,123935
21728,non-elite university,53556,52556
21729,non-elite university,70678,69678
21730,non-elite university,41880,40880
21731,non-elite university,58479,57479
21732,non-elite university,48246,47246
21733,non-elite university,38375,37375
21734,elite university,86597,85597
21735,elite university,70583,69583
21736,elite university,44263,43263
21737,non-elite university,29585,28585
21738,non-elite university,99550,98550
21739,elite university,83743,82743
21740,elite university,90070,89070
21741,elite university,157904,156904
21742,non-elite university,68252,67252
21743,non-elite university,53684,52684
21744,elite university,45159,44159
21745,non-elite university,49730,48730
21746,non-elite university,42360,41360
21747,non-elite university,69638,68638
21748,non-elite university,83863,82863
21749,elite university,75421,74421
21750,non-elite university,55880,54880
21751,non-elite university,58760,57760
21752,elite university,106093,105093
21753,non-elite university,71184,70184
21754,non-elite university,57364,56364
21755,non-elite university,84870,83870
21756,elite university,73115,72115
21757,elite university,81352,80352
21758,elite university,48422,47422
21759,elite university,93588,92588
21760,non-elite university,59561,58561
21761,elite university,68917,67917
21762,non-elite university,45296,44296
21763,non-elite university,61524,60524
21764,non-elite university,69599,68599
21765,elite university,49972,48972
21766,non-elite university,33435,32435
21767,non-elite university,41687,40687
21768,non-elite university,36216,35216
21769,non-elite university,72353,71353
21770,non-elite university,119780,118780
21771,elite university,52233,51233
21772,non-elite university,71092,70092
21773,elite university,98922,97922
21774,elite university,41408,40408
21775,elite university,54586,53586
21776,elite university,154751,153751
21777,elite university,67420,66420
21778,non-elite university,66340,65340
21779,non-elite university,64057,63057
21780,elite university,68133,67133
21781,elite university,70007,69007
21782,elite university,89654,88654
21783,elite university,42587,41587
21784,non-elite university,55748,54748
21785,non-elite university,152004,151004
21786,elite university,74218,73218
21787,non-elite university,78425,77425
21788,elite university,60004,59004
21789,elite university,56610,55610
21790,non-elite university,47576,46576
21791,non-elite university,61097,60097
21792,non-elite university,74157,73157
21793,non-elite university,80634,79634
21794,non-elite university,43097,42097
21795,elite university,48514,47514
21796,non-elite university,63580,62580
21797,non-elite university,70823,69823
21798,elite university,95267,94267
21799,elite university,63599,62599
21800,elite university,77353,76353
21801,elite university,71541,70541
21802,non-elite university,45272,44272
21803,non-elite university,62774,61774
21804,non-elite university,106198,105198
21805,non-elite university,30928,29928
21806,elite university,87609,86609
21807,non-elite university,141983,140983
21808,non-elite university,126606,125606
21809,elite university,65184,64184
21810,elite university,73178,72178
21811,elite university,61988,60988
21812,non-elite university,40043,39043
21813,elite university,56393,55393
21814,non-elite university,41253,40253
21815,non-elite university,58124,57124
21816,non-elite university,66757,65757
21817,non-elite university,44054,43054
21818,elite university,61143,60143
21819,non-elite university,40621,39621
21820,elite university,93535,92535
21821,non-elite university,39683,38683
21822,elite university,71599,70599
21823,non-elite university,113198,112198
21824,elite university,88177,87177
21825,elite university,88467,87467
21826,non-elite university,47268,46268
21827,elite university,78694,77694
21828,non-elite university,100383,99383
21829,non-elite university,34582,33582
21830,non-elite university,88675,87675
21831,elite university,48850,47850
21832,non-elite university,92863,91863
21833,elite university,111954,110954
21834,elite university,99106,98106
21835,non-elite university,76214,75214
21836,elite university,111006,110006
21837,non-elite university,83996,82996
21838,elite university,102817,101817
21839,elite university,63091,62091
21840,elite university,61503,60503
21841,non-elite university,65980,64980
21842,non-elite university,38818,37818
21843,elite university,130361,129361
21844,elite university,58283,57283
21845,elite university,53737,52737
21846,elite university,84172,83172
21847,elite university,61663,60663
21848,non-elite university,58681,57681
21849,non-elite university,77689,76689
21850,non-elite university,82206,81206
21851,elite university,68244,67244
21852,elite university,92745,91745
21853,non-elite university,68963,67963
21854,non-elite university,71194,70194
21855,elite university,247910,246910
21856,non-elite university,79663,78663
21857,elite university,71799,70799
21858,non-elite university,73865,72865
21859,elite university,67203,66203
21860,elite university,82241,81241
21861,non-elite university,36960,35960
21862,elite university,65398,64398
21863,elite university,44711,43711
21864,elite university,98083,97083
21865,elite university,134131,133131
21866,elite university,58131,57131
21867,elite university,32152,31152
21868,non-elite university,35101,34101
21869,non-elite university,60305,59305
21870,elite university,79434,78434
21871,non-elite university,66254,65254
21872,elite university,79858,78858
21873,elite university,101500,100500
21874,non-elite university,36160,35160
21875,elite university,76446,75446
21876,elite university,102113,101113
21877,elite university,85985,84985
21878,non-elite university,29958,28958
21879,non-elite university,67089,66089
21880,elite university,60273,59273
21881,non-elite university,94254,93254
21882,elite university,52535,51535
21883,non-elite university,75015,74015
21884,elite university,199167,198167
21885,elite university,100918,99918
21886,elite university,61890,60890
21887,non-elite university,177652,176652
21888,elite university,40284,39284
21889,non-elite university,62083,61083
21890,elite university,58976,57976
21891,non-elite university,75387,74387
21892,elite university,35613,34613
21893,elite university,80744,79744
21894,elite university,61451,60451
21895,non-elite university,80913,79913
21896,elite university,80974,79974
21897,non-elite university,54342,53342
21898,non-elite university,68122,67122
21899,elite university,76957,75957
21900,elite university,79951,78951
21901,non-elite university,85511,84511
21902,non-elite university,45884,44884
21903,elite university,111426,110426
21904,elite university,123693,122693
21905,elite university,61922,60922
21906,elite university,108398,107398
21907,elite university,78197,77197
21908,elite university,87445,86445
21909,elite university,40295,39295
21910,elite university,105184,104184
21911,elite university,60051,59051
21912,non-elite university,61290,60290
21913,non-elite university,77551,76551
21914,non-elite university,67844,66844
21915,non-elite university,55833,54833
21916,elite university,41087,40087
21917,non-elite university,53310,52310
21918,non-elite university,97738,96738
21919,non-elite university,81251,80251
21920,non-elite university,154635,153635
21921,non-elite university,74194,73194
21922,non-elite university,54854,53854
21923,elite university,85917,84917
21924,elite university,136988,135988
21925,non-elite university,42996,41996
21926,non-elite university,48509,47509
21927,non-elite university,34791,33791
21928,elite university,65052,64052
21929,elite university,35752,34752
21930,elite university,115470,114470
21931,elite university,49621,48621
21932,non-elite university,51240,50240
21933,non-elite university,38765,37765
21934,non-elite university,42396,41396
21935,non-elite university,67840,66840
21936,elite university,42499,41499
21937,elite university,116148,115148
21938,non-elite university,134807,133807
21939,non-elite university,84201,83201
21940,elite university,49806,48806
21941,non-elite university,69273,68273
21942,elite university,58399,57399
21943,non-elite university,83232,82232
21944,non-elite university,54743,53743
21945,elite university,62391,61391
21946,elite university,88589,87589
21947,non-elite university,35859,34859
21948,non-elite university,87491,86491
21949,elite university,123438,122438
21950,non-elite university,45356,44356
21951,elite university,72653,71653
21952,non-elite university,50238,49238
21953,non-elite university,37262,36262
21954,non-elite university,65783,64783
21955,elite university,94299,93299
21956,elite university,55944,54944
21957,non-elite university,109906,108906
21958,elite university,101585,100585
21959,elite university,72576,71576
21960,non-elite university,38331,37331
21961,elite university,37416,36416
21962,elite university,69934,68934
21963,non-elite university,82128,81128
21964,non-elite university,74725,73725
21965,non-elite university,134590,133590
21966,non-elite university,41145,40145
21967,elite university,39638,38638
21968,elite university,92857,91857
21969,non-elite university,136250,135250
21970,elite university,62122,61122
21971,elite university,73740,72740
21972,non-elite university,98885,97885
21973,elite university,76854,75854
21974,non-elite university,80620,79620
21975,non-elite university,60366,59366
21976,non-elite university,94788,93788
21977,non-elite university,63928,62928
21978,non-elite university,58612,57612
21979,non-elite university,43019,42019
21980,elite university,72556,71556
21981,elite university,59627,58627
21982,elite university,90323,89323
21983,non-elite university,23906,22906
21984,non-elite university,59832,58832
21985,elite university,83934,82934
21986,non-elite university,48270,47270
21987,elite university,58653,57653
21988,non-elite university,55345,54345
21989,non-elite university,34453,33453
21990,non-elite university,54232,53232
21991,non-elite university,68706,67706
21992,non-elite university,42538,41538
21993,elite university,74249,73249
21994,non-elite university,34351,33351
21995,elite university,74531,73531
21996,non-elite university,63445,62445
21997,elite university,59661,58661
21998,non-elite university,44476,43476
21999,elite university,74008,73008
22000,elite university,70133,69133
22001,non-elite university,96460,95460
22002,non-elite university,53805,52805
22003,non-elite university,89540,88540
22004,elite university,83694,82694
22005,non-elite university,42357,41357
22006,non-elite university,40144,39144
22007,non-elite university,49816,48816
22008,elite university,89725,88725
22009,elite university,57769,56769
22010,non-elite university,53415,52415
22011,non-elite university,76449,75449
22012,non-elite university,39832,38832
22013,non-elite university,104953,103953
22014,elite university,62838,61838
22015,elite university,106533,105533
22016,non-elite university,39665,38665
22017,elite university,63465,62465
22018,elite university,63716,62716
22019,elite university,74558,73558
22020,non-elite university,61873,60873
22021,elite university,84272,83272
22022,elite university,76708,75708
22023,non-elite university,41625,40625
22024,non-elite university,62170,61170
22025,non-elite university,82697,81697
22026,non-elite university,62856,61856
22027,non-elite university,54957,53957
22028,non-elite university,81206,80206
22029,non-elite university,47052,46052
22030,elite university,61022,60022
22031,non-elite university,128705,127705
22032,non-elite university,42798,41798
22033,non-elite university,31841,30841
22034,non-elite university,58956,57956
22035,non-elite university,37573,36573
22036,elite university,66903,65903
22037,non-elite university,46921,45921
22038,elite university,83826,82826
22039,elite university,76568,75568
22040,non-elite university,77950,76950
22041,elite university,66164,65164
22042,elite university,32951,31951
22043,elite university,122706,121706
22044,non-elite university,77111,76111
22045,non-elite university,106144,105144
22046,elite university,90942,89942
22047,elite university,88908,87908
22048,non-elite university,74831,73831
22049,non-elite university,69716,68716
22050,non-elite university,108782,107782
22051,non-elite university,71731,70731
22052,non-elite university,61097,60097
22053,elite university,75805,74805
22054,elite university,48707,47707
22055,elite university,74349,73349
22056,elite university,72103,71103
22057,elite university,89140,88140
22058,elite university,90290,89290
22059,non-elite university,34577,33577
22060,non-elite university,49109,48109
22061,non-elite university,37494,36494
22062,elite university,90698,89698
22063,elite university,92418,91418
22064,elite university,84532,83532
22065,elite university,75056,74056
22066,non-elite university,75247,74247
22067,non-elite university,61568,60568
22068,elite university,54598,53598
22069,elite university,98980,97980
22070,non-elite university,75858,74858
22071,non-elite university,88406,87406
22072,elite university,136137,135137
22073,non-elite university,57381,56381
22074,elite university,83862,82862
22075,non-elite university,30564,29564
22076,non-elite university,53291,52291
22077,non-elite university,95747,94747
22078,non-elite university,95401,94401
22079,elite university,62224,61224
22080,elite university,93885,92885
22081,non-elite university,34246,33246
22082,non-elite university,64464,63464
22083,non-elite university,28024,27024
22084,elite university,76456,75456
22085,non-elite university,54180,53180
22086,non-elite university,132432,131432
22087,non-elite university,40372,39372
22088,non-elite university,53413,52413
22089,elite university,44841,43841
22090,non-elite university,68229,67229
22091,elite university,60919,59919
22092,non-elite university,68224,67224
22093,elite university,87517,86517
22094,elite university,74265,73265
22095,elite university,63000,62000
22096,non-elite university,101928,100928
22097,elite university,43766,42766
22098,elite university,70546,69546
22099,elite university,81703,80703
22100,elite university,48309,47309
22101,non-elite university,146670,145670
22102,elite university,64134,63134
22103,non-elite university,35128,34128
22104,non-elite university,63204,62204
22105,elite university,46986,45986
22106,non-elite university,71042,70042
22107,elite university,61263,60263
22108,elite university,60109,59109
22109,elite university,56072,55072
22110,non-elite university,45423,44423
22111,non-elite university,60797,59797
22112,non-elite university,55795,54795
22113,elite university,86895,85895
22114,non-elite university,103744,102744
22115,non-elite university,50697,49697
22116,non-elite university,60167,59167
22117,elite university,61775,60775
22118,non-elite university,80444,79444
22119,non-elite university,61802,60802
22120,elite university,52887,51887
22121,non-elite university,37745,36745
22122,elite university,74884,73884
22123,elite university,46489,45489
22124,non-elite university,66246,65246
22125,elite university,76344,75344
22126,elite university,41160,40160
22127,elite university,51040,50040
22128,non-elite university,74895,73895
22129,elite university,53660,52660
22130,non-elite university,60851,59851
22131,non-elite university,69201,68201
22132,elite university,83228,82228
22133,non-elite university,34132,33132
22134,non-elite university,88982,87982
22135,non-elite university,58753,57753
22136,non-elite university,65890,64890
22137,elite university,71967,70967
22138,elite university,78274,77274
22139,non-elite university,66977,65977
22140,non-elite university,42076,41076
22141,non-elite university,61590,60590
22142,elite university,58402,57402
22143,elite university,59957,58957
22144,elite university,49792,48792
22145,elite university,61482,60482
22146,non-elite university,79229,78229
22147,elite university,66800,65800
22148,elite university,49656,48656
22149,non-elite university,77828,76828
22150,elite university,67533,66533
22151,elite university,73407,72407
22152,elite university,83678,82678
22153,elite university,82051,81051
22154,non-elite university,97963,96963
22155,elite university,135927,134927
22156,elite university,63532,62532
22157,non-elite university,101050,100050
22158,elite university,78925,77925
22159,elite university,58853,57853
22160,elite university,77705,76705
22161,elite university,30811,29811
22162,elite university,72609,71609
22163,elite university,108653,107653
22164,elite university,50909,49909
22165,elite university,64916,63916
22166,elite university,139278,138278
22167,elite university,79144,78144
22168,elite university,75857,74857
22169,non-elite university,71692,70692
22170,non-elite university,50959,49959
22171,non-elite university,88695,87695
22172,elite university,85237,84237
22173,non-elite university,52638,51638
22174,non-elite university,86788,85788
22175,elite university,40472,39472
22176,elite university,54310,53310
22177,non-elite university,103599,102599
22178,elite university,94980,93980
22179,elite university,79641,78641
22180,elite university,45717,44717
22181,non-elite university,44578,43578
22182,non-elite university,52414,51414
22183,elite university,78140,77140
22184,elite university,78272,77272
22185,non-elite university,58974,57974
22186,elite university,73837,72837
22187,elite university,47856,46856
22188,non-elite university,56770,55770
22189,elite university,64646,63646
22190,elite university,69791,68791
22191,elite university,55249,54249
22192,non-elite university,51264,50264
22193,elite university,76689,75689
22194,non-elite university,83349,82349
22195,elite university,104893,103893
22196,non-elite university,44738,43738
22197,elite university,49255,48255
22198,elite university,73582,72582
22199,non-elite university,30341,29341
22200,elite university,79117,78117
22201,elite university,45098,44098
22202,non-elite university,51744,50744
22203,elite university,71106,70106
22204,non-elite university,59153,58153
22205,elite university,65419,64419
22206,elite university,107337,106337
22207,elite university,89538,88538
22208,elite university,64907,63907
22209,non-elite university,90777,89777
22210,elite university,56990,55990
22211,elite university,49431,48431
22212,elite university,27406,26406
22213,elite university,46787,45787
22214,non-elite university,70224,69224
22215,non-elite university,38568,37568
22216,non-elite university,53899,52899
22217,non-elite university,104343,103343
22218,elite university,72151,71151
22219,elite university,66715,65715
22220,non-elite university,79688,78688
22221,non-elite university,56890,55890
22222,non-elite university,39656,38656
22223,non-elite university,56514,55514
22224,elite university,63102,62102
22225,elite university,84017,83017
22226,elite university,117160,116160
22227,non-elite university,68231,67231
22228,elite university,79959,78959
22229,elite university,71019,70019
22230,non-elite university,67701,66701
22231,elite university,102255,101255
22232,non-elite university,100572,99572
22233,elite university,53252,52252
22234,elite university,44852,43852
22235,non-elite university,113421,112421
22236,elite university,48745,47745
22237,non-elite university,35357,34357
22238,elite university,109074,108074
22239,elite university,61142,60142
22240,non-elite university,62804,61804
22241,non-elite university,84460,83460
22242,non-elite university,76136,75136
22243,non-elite university,56230,55230
22244,non-elite university,60786,59786
22245,non-elite university,90296,89296
22246,elite university,58860,57860
22247,non-elite university,112814,111814
22248,elite university,106716,105716
22249,non-elite university,79952,78952
22250,non-elite university,94113,93113
22251,elite university,75585,74585
22252,elite university,62686,61686
22253,elite university,66343,65343
22254,non-elite university,45437,44437
22255,non-elite university,60426,59426
22256,elite university,33867,32867
22257,non-elite university,84799,83799
22258,non-elite university,46380,45380
22259,elite university,63840,62840
22260,non-elite university,57966,56966
22261,elite university,46883,45883
22262,elite university,108641,107641
22263,non-elite university,78130,77130
22264,non-elite university,55968,54968
22265,non-elite university,87850,86850
22266,elite university,71583,70583
22267,elite university,43946,42946
22268,elite university,108806,107806
22269,non-elite university,64065,63065
22270,non-elite university,62035,61035
22271,non-elite university,42742,41742
22272,elite university,79938,78938
22273,non-elite university,52396,51396
22274,non-elite university,53368,52368
22275,non-elite university,34804,33804
22276,elite university,72539,71539
22277,non-elite university,101937,100937
22278,non-elite university,53587,52587
22279,non-elite university,57937,56937
22280,elite university,74054,73054
22281,non-elite university,84396,83396
22282,non-elite university,27187,26187
22283,elite university,115147,114147
22284,elite university,108783,107783
22285,non-elite university,71260,70260
22286,non-elite university,40748,39748
22287,non-elite university,51482,50482
22288,non-elite university,34220,33220
22289,elite university,75615,74615
22290,non-elite university,71439,70439
22291,elite university,39429,38429
22292,non-elite university,77234,76234
22293,non-elite university,72095,71095
22294,non-elite university,43528,42528
22295,elite university,50975,49975
22296,elite university,52429,51429
22297,non-elite university,86799,85799
22298,elite university,62177,61177
22299,non-elite university,50783,49783
22300,elite university,58367,57367
22301,non-elite university,115205,114205
22302,non-elite university,52312,51312
22303,non-elite university,49437,48437
22304,elite university,101385,100385
22305,non-elite university,72193,71193
22306,elite university,40561,39561
22307,elite university,62705,61705
22308,elite university,31080,30080
22309,elite university,108281,107281
22310,elite university,97441,96441
22311,elite university,63656,62656
22312,elite university,58053,57053
22313,non-elite university,65048,64048
22314,non-elite university,64522,63522
22315,non-elite university,39366,38366
22316,non-elite university,29012,28012
22317,non-elite university,28140,27140
22318,non-elite university,70081,69081
22319,non-elite university,43052,42052
22320,elite university,88099,87099
22321,non-elite university,57712,56712
22322,elite university,70037,69037
22323,elite university,52044,51044
22324,elite university,60911,59911
22325,non-elite university,50658,49658
22326,non-elite university,51130,50130
22327,elite university,102077,101077
22328,elite university,98006,97006
22329,elite university,33789,32789
22330,elite university,164767,163767
22331,elite university,51431,50431
22332,elite university,95139,94139
22333,elite university,61150,60150
22334,elite university,56724,55724
22335,elite university,51646,50646
